id;rank;name;employees;previousrank;revenues;revenuechange;profits;profitschange;assets;marketvalue
289;288;Owens & Minor;"7,9";291;010 ;-0.5%;$108.8 ;5.2%;003 ;002 
290;289;Huntsman;15;277;010 ;-6.2%;$326.0 ;250.5%;009 ;006 
291;290;Laboratory Corp. of America;52;325;010 ;11.1%;$732.1 ;67.6%;014 ;015 
292;291;Murphy USA;"6,6";258;010 ;-11.5%;$221.5 ;25.6%;002 ;003 
293;292;Advance Auto Parts;"57,5";293;010 ;-1.7%;$459.6 ;-2.9%;008 ;011 
294;293;Fidelity National Financial;"55,219";311;010 ;4.6%;$650.0 ;23.3%;014 ;011 
295;294;Air Products & Chemicals;"18,45";288;010 ;-3.7%;$631.1 ;-50.6%;018 ;029 
296;295;Hormel Foods;"21,1";304;010 ;2.8%;$890.1 ;29.7%;006 ;018 
297;296;Hertz Global Holdings;36;269;009 ;-10.0%;-$491.0 ;-279.9%;019 ;001 
298;297;MGM Resorts International;"66,5";309;009 ;2.9%;"$1,101.4 ";-;028 ;016 
299;298;Corning;"40,7";313;009 ;3.1%;"$3,695.0 ";176.0%;028 ;025 
300;299;Republic Services;33;312;009 ;3.0%;$612.6 ;-18.3%;021 ;021 
301;300;Alcoa;14;;009 ;-;-$400.0 ;-;017 ;006 
302;301;Fidelity National Information Services;55;392;009 ;40.1%;$568.0 ;-10.1%;026 ;026 
303;302;Pacific Life;"3,628";326;009 ;6.1%;$824.0 ;24.7%;143 ;-
304;303;SunTrust Banks;"24,375";329;009 ;7.4%;"$1,878.0 ";-2.8%;205 ;027 
305;304;LKQ;"42,5";369;009 ;26.3%;$464.0 ;9.6%;008 ;009 
306;305;BorgWarner;27;339;009 ;13.1%;$118.5 ;-80.6%;009 ;009 
307;306;Ball;"18,45";341;009 ;13.3%;$263.0 ;-6.4%;016 ;013 
308;307;CST Brands;"12,38";299;009 ;-4.6%;$324.0 ;117.4%;004 ;004 
309;308;Public Service Enterprise Group;"13,065";272;009 ;-13.0%;$887.0 ;-47.2%;040 ;022 
310;309;Eastman Chemical;14;296;009 ;-6.6%;$854.0 ;0.7%;015 ;012 
311;310;eBay;"12,6";300;009 ;-5.4%;"$7,266.0 ";321.2%;024 ;036 
312;311;Mohawk Industries;"37,8";338;009 ;11.0%;$930.4 ;51.2%;010 ;017 
313;312;Oneok;"2,384";348;009 ;14.9%;$352.0 ;43.7%;016 ;012 
314;313;Frontier Communications;"28,332";461;009 ;59.5%;-$373.0 ;-;029 ;003 
315;314;Netflix;"3,85";379;009 ;30.3%;$186.7 ;52.2%;014 ;064 
316;315;American Family Insurance Group;"10,471";332;009 ;6.6%;$325.6 ;-53.1%;023 ;-
317;316;Thrivent Financial for Lutherans;"3,282";318;009 ;-0.1%;$587.8 ;-23.6%;089 ;-
318;317;Expedia;"20,075";385;009 ;31.5%;$281.8 ;-63.1%;016 ;019 
319;318;Lithia Motors;"11,17";346;009 ;10.3%;$197.1 ;7.7%;004 ;002 
320;319;Avis Budget Group;"25,6";330;009 ;1.8%;$163.0 ;-47.9%;018 ;003 
321;320;Reliance Steel & Aluminum;"14,5";303;009 ;-7.9%;$304.3 ;-2.3%;007 ;006 
322;321;GameStop;"41,75";302;009 ;-8.1%;$353.2 ;-12.3%;005 ;002 
323;322;Tenneco;31;334;009 ;4.8%;$363.0 ;47.0%;004 ;003 
324;323;O;"58,397";342;009 ;7.9%;"$1,037.7 ";11.4%;007 ;025 
325;324;Peter Kiewit Sons;20;314;009 ;-4.7%;$396.0 ;57.8%;006 ;-
326;325;United Natural Foods;"9,554";335;008 ;3.5%;$125.8 ;-9.3%;003 ;002 
327;326;salesforce.com;25;386;008 ;25.9%;$179.6 ;-;018 ;058 
328;327;Boston Scientific;27;359;008 ;12.2%;$347.0 ;-;018 ;034 
329;328;Newmont Mining;"12,438";349;008 ;8.4%;-$627.0 ;-385.0%;021 ;018 
330;329;Genworth Financial;"3,4";306;008 ;-9.5%;-$277.0 ;-;105 ;002 
331;330;Live Nation Entertainment;"11,5";366;008 ;15.3%;$2.9 ;-;007 ;006 
332;331;Veritiv;"8,7";323;008 ;-4.5%;$21.0 ;-21.3%;002 ;813 
333;332;News Corp.;24;327;008 ;-3.6%;$179.0 ;-;015 ;008 
334;333;Crown Holdings;"23,992";321;008 ;-5.5%;$496.0 ;26.2%;010 ;007 
335;334;Global Partners;"1,77";276;008 ;-20.1%;-$199.4 ;-557.8%;003 ;663 
336;335;PVH;"26,65";340;008 ;2.3%;$549.0 ;-4.1%;011 ;008 
337;336;Level 3 Communications;"12,6";333;008 ;-0.7%;$677.0 ;-80.3%;025 ;021 
338;337;Navistar International;"11,3";281;008 ;-20.0%;-$97.0 ;-;006 ;002 
339;338;Univar;"8,7";315;008 ;-10.1%;-$68.4 ;-514.5%;005 ;004 
340;339;Campbell Soup;"16,5";337;008 ;-1.5%;$563.0 ;-18.5%;008 ;017 
341;340;Dick;"27,55";365;008 ;9.0%;$287.4 ;-13.0%;004 ;005 
342;341;Weyerhaeuser;"10,4";373;008 ;11.6%;"$1,027.0 ";103.0%;019 ;025 
343;342;Mutual of Omaha Insurance;"5,732";367;008 ;9.2%;$356.6 ;7.1%;038 ;-
344;343;Chesapeake Energy;"3,3";223;008 ;-38.3%;"-$4,401.0 ";-;013 ;005 
345;344;Anadarko Petroleum;"4,5";324;008 ;-9.5%;"-$3,071.0 ";-;046 ;035 
346;345;Interpublic Group;"49,8";355;008 ;3.1%;$608.5 ;33.9%;012 ;010 
347;346;J.M. Smucker;"6,91";452;008 ;37.2%;$688.7 ;99.7%;016 ;015 
348;347;Steel Dynamics;"7,695";356;008 ;2.4%;$382.1 ;-;006 ;008 
349;348;Foot Locker;"32,965";361;008 ;4.8%;$664.0 ;22.7%;004 ;010 
350;349;Western Refining;"7,134";289;008 ;-20.9%;$124.9 ;-69.3%;006 ;004 
351;350;SpartanNash;"11,5";351;008 ;1.1%;$56.8 ;-9.4%;002 ;001 
352;351;Dean Foods;17;336;008 ;-5.1%;$119.9 ;-;003 ;002 
353;352;Zimmer Biomet Holdings;"18,5";431;008 ;28.1%;$305.9 ;108.1%;027 ;025 
354;353;PulteGroup;"4,623";433;008 ;28.2%;$602.7 ;22.0%;010 ;007 
355;354;W.R. Berkley;"7,608";368;008 ;6.2%;$601.9 ;19.5%;023 ;009 
356;355;Quanta Services;"28,1";352;008 ;0.2%;$198.4 ;-36.2%;005 ;005 
357;356;EOG Resources;"2,65";322;008 ;-12.6%;"-$1,096.7 ";-;029 ;056 
358;357;Charles Schwab;"16,2";401;008 ;17.6%;"$1,889.0 ";30.5%;223 ;055 
359;358;Eversource Energy;"7,762";343;008 ;-4.0%;$942.3 ;7.3%;032 ;019 
360;359;Anixter International;"8,9";391;008 ;15.6%;$120.5 ;-5.6%;004 ;003 
361;360;EMCOR Group;31;381;008 ;12.3%;$181.9 ;5.6%;004 ;004 
362;361;Assurant;"14,7";275;008 ;-27.1%;$565.4 ;299.4%;030 ;005 
363;362;CenterPoint Energy;"7,727";363;008 ;1.9%;$432.0 ;-;022 ;012 
364;363;Harris;21;505;008 ;48.1%;$324.0 ;-3.0%;012 ;014 
365;364;HD Supply Holdings;14;320;008 ;-14.3%;$196.0 ;-86.7%;006 ;008 
366;365;PPL;"12,689";350;008 ;-2.0%;"$1,902.0 ";178.9%;038 ;025 
367;366;Quest Diagnostics;43;358;008 ;0.3%;$645.0 ;-9.0%;010 ;014 
368;367;Williams;"5,604";364;007 ;1.9%;-$424.0 ;-;047 ;024 
369;368;WEC Energy Group;"8,074";437;007 ;26.1%;$939.0 ;47.1%;030 ;019 
370;369;Hershey;"17,14";362;007 ;0.7%;$720.0 ;40.4%;006 ;023 
371;370;AGCO;"19,795";360;007 ;-0.8%;$160.1 ;-39.9%;007 ;005 
372;371;Ralph Lauren;"20,5";354;007 ;-2.8%;$396.0 ;-43.6%;006 ;007 
373;372;Masco;26;345;007 ;-6.9%;$491.0 ;38.3%;005 ;011 
374;373;WESCO International;9;357;007 ;-2.4%;$101.6 ;-51.8%;004 ;003 
375;374;LifePoint Health;47;430;007 ;20.9%;$121.9 ;-33.0%;006 ;003 
376;375;National Oilwell Varco;"36,384";192;007 ;-50.9%;"-$2,412.0 ";-;021 ;015 
377;376;Kindred Healthcare;"76,65";372;007 ;1.8%;-$664.2 ;-;006 ;711 
378;377;Mosaic;"8,7";316;007 ;-19.5%;$297.8 ;-70.2%;017 ;010 
379;378;Alliance Data Systems;17;404;007 ;10.8%;$515.8 ;-13.5%;026 ;014 
380;379;Computer Sciences;59;233;007 ;-41.7%;$251.0 ;-;008 ;010 
381;380;Huntington Ingalls Industries;37;378;007 ;0.7%;$573.0 ;41.8%;006 ;009 
382;381;Leidos Holdings;32;504;007 ;38.5%;$244.0 ;-3.9%;009 ;008 
383;382;Erie Insurance Group;"4,988";411;007 ;5.7%;$741.9 ;10.7%;018 ;-
384;383;Tesla;"30,025";588;007 ;73.0%;-$674.9 ;-;023 ;045 
385;384;Ascena Retail Group;41;523;007 ;45.6%;-$11.9 ;-;006 ;830 
386;385;Darden Restaurants;"150,942";371;007 ;-3.2%;$375.0 ;-47.1%;005 ;010 
387;386;Harman International Industries;26;419;007 ;12.3%;$361.7 ;5.6%;006 ;-
388;387;Nvidia;"10,299";508;007 ;37.9%;"$1,666.0 ";171.3%;010 ;064 
389;388;R.R. Donnelley & Sons;"44,36";255;007 ;-38.7%;-$495.9 ;-428.2%;004 ;846 
390;389;Fifth Third Bancorp;"17,844";376;007 ;-2.0%;"$1,564.0 ";-8.6%;142 ;019 
391;390;Quintiles Transnational Holdings;50;447;007 ;19.9%;$115.0 ;-70.3%;021 ;019 
392;391;Jones Lang LaSalle;"77,3";436;007 ;14.0%;$318.2 ;-27.5%;008 ;005 
393;392;Dover;29;377;007 ;-3.3%;$508.9 ;-41.5%;010 ;013 
394;393;Spirit AeroSystems Holdings;"14,4";389;007 ;2.2%;$469.7 ;-40.4%;005 ;007 
395;394;Ryder System;"34,5";395;007 ;3.3%;$262.5 ;-13.9%;011 ;004 
396;395;A-Mark Precious Metals;83;426;007 ;11.8%;$9.3 ;31.5%;437 ;120 
397;396;Tractor Supply;"19,5";415;007 ;8.9%;$437.1 ;6.5%;003 ;009 
398;397;Sealed Air;23;375;007 ;-3.6%;$486.4 ;45.0%;007 ;008 
399;398;Auto-Owners Insurance;"4,737";398;007 ;4.0%;$706.3 ;-13.4%;022 ;-
400;399;Yum China Holdings;420;;007 ;-;$502.0 ;-;004 ;010 
401;400;Calpine;"2,372";402;007 ;3.8%;$92.0 ;-60.9%;019 ;004 
402;401;Owens-Illinois;27;418;007 ;8.9%;$209.0 ;54.8%;009 ;003 
403;402;Targa Resources;"1,97";387;007 ;0.5%;-$187.3 ;-421.3%;013 ;012 
404;403;JetBlue Airways;"15,986";405;007 ;3.4%;$759.0 ;12.1%;009 ;007 
405;404;Jones Financial;43;382;007 ;-0.9%;$746.0 ;-11.0%;019 ;-
406;405;Franklin Resources;"9,059";344;007 ;-16.7%;"$1,726.7 ";-15.2%;016 ;024 
407;406;Activision Blizzard;"9,5";532;007 ;41.7%;$966.0 ;8.3%;017 ;037 
408;407;J.B. Hunt Transport Services;"22,19";416;007 ;5.9%;$432.1 ;1.1%;004 ;010 
409;408;Constellation Brands;9;429;007 ;8.6%;"$1,054.9 ";25.7%;017 ;032 
410;409;NCR;"33,5";409;007 ;2.7%;$270.0 ;-;008 ;006 
411;410;Asbury Automotive Group;"7,9";393;007 ;-0.9%;$167.2 ;-1.2%;002 ;001 
412;411;American Financial Group;"7,6";421;006 ;5.7%;$649.0 ;84.4%;055 ;008 
413;412;Discovery Communications;7;406;006 ;1.6%;"$1,194.0 ";15.5%;016 ;011 
414;413;Berry Global Group;21;518;006 ;32.9%;$236.0 ;174.4%;008 ;006 
415;414;Sanmina;"40,178";408;006 ;1.7%;$187.8 ;-50.2%;004 ;003 
416;415;CalAtlantic Group;"3,055";640;006 ;83.0%;$484.7 ;127.0%;009 ;004 
417;416;Dr Pepper Snapple Group;20;413;006 ;2.5%;$847.0 ;10.9%;010 ;018 
418;417;Dillard;"30,8";380;006 ;-5.0%;$169.2 ;-37.2%;004 ;002 
419;418;HRG Group;"16,021";441;006 ;10.1%;-$198.8 ;-;036 ;004 
420;419;CMS Energy;"7,75";403;006 ;-0.9%;$551.0 ;5.4%;022 ;013 
421;420;Graybar Electric;"8,5";423;006 ;4.5%;$93.1 ;2.2%;002 ;-
422;421;Builders FirstSource;14;637;006 ;78.6%;$144.3 ;-;003 ;002 
423;422;Yum Brands;90;218;006 ;-51.4%;"$1,619.0 ";25.2%;005 ;023 
424;423;Casey;"24,724";374;006 ;-10.6%;$226.0 ;25.1%;003 ;004 
425;424;Amphenol;62;462;006 ;12.9%;$822.9 ;7.8%;008 ;022 
426;425;Oshkosh;"13,8";424;006 ;3.0%;$216.4 ;-5.7%;005 ;005 
427;426;iHeartMedia;"18,7";414;006 ;0.5%;-$296.3 ;-;013 ;330 
428;427;TreeHouse Foods;"16,027";686;006 ;92.6%;-$228.6 ;-298.9%;007 ;005 
429;428;Alleghany;"3,42";509;006 ;22.6%;$456.9 ;-18.5%;024 ;009 
430;429;Expeditors International of Washington;16;390;006 ;-7.8%;$430.8 ;-5.8%;003 ;010 
431;430;Avery Dennison;25;435;006 ;2.0%;$320.7 ;16.9%;004 ;007 
432;431;Ameren;"8,629";425;006 ;-0.4%;$653.0 ;3.7%;025 ;013 
433;432;Hanesbrands;"67,8";448;006 ;5.8%;$539.4 ;25.8%;007 ;008 
434;433;Motorola Solutions;14;451;006 ;6.0%;$560.0 ;-8.2%;008 ;014 
435;434;St. Jude Medical;18;465;006 ;8.4%;$734.0 ;-16.6%;013 ;-
436;435;Harley-Davidson;6;432;006 ;-;$692.2 ;-8.0%;010 ;011 
437;436;Regions Financial;"22,166";453;006 ;5.2%;"$1,163.0 ";9.5%;126 ;018 
438;437;Intercontinental Exchange;"5,631";529;006 ;27.3%;"$1,422.0 ";11.6%;082 ;036 
439;438;Alaska Air Group;"19,112";459;006 ;5.9%;$814.0 ;-4.0%;010 ;011 
440;439;Old Republic International;"8,5";442;006 ;2.3%;$466.9 ;10.6%;019 ;005 
441;440;Lam Research;"7,5";491;006 ;11.9%;$914.0 ;39.4%;012 ;021 
442;441;AK Steel Holding;"8,5";383;006 ;-12.1%;-$7.8 ;-;004 ;002 
443;442;Rockwell Automation;22;412;006 ;-6.8%;$729.7 ;-11.8%;007 ;020 
444;443;Adobe Systems;"15,706";524;006 ;22.1%;"$1,168.8 ";85.7%;013 ;064 
445;444;Avon Products;"26,4";370;006 ;-18.4%;-$107.6 ;-;003 ;002 
446;445;Terex;"18,1";396;006 ;-10.7%;-$176.1 ;-220.7%;005 ;003 
447;446;NVR;"4,9";498;006 ;12.9%;$425.3 ;11.1%;003 ;008 
448;447;Dana Holding;"24,9";428;006 ;-3.9%;$640.0 ;302.5%;005 ;003 
449;448;Realogy Holdings;"11,8";449;006 ;1.8%;$213.0 ;15.8%;007 ;004 
450;449;American Tower;"4,507";526;006 ;21.3%;$956.4 ;39.6%;031 ;052 
451;450;Packaging Corp. of America;14;446;006 ;0.6%;$449.6 ;2.9%;006 ;009 
452;451;Citizens Financial Group;"17,6";486;006 ;9.2%;"$1,045.0 ";24.4%;150 ;018 
453;452;United Rentals;"12,5";440;006 ;-0.9%;$566.0 ;-3.2%;012 ;011 
454;453;Clorox;8;455;006 ;1.7%;$648.0 ;11.7%;005 ;017 
455;454;Genesis Healthcare;82;457;006 ;2.0%;-$64.0 ;-;006 ;408 
456;455;M&T Bank Corp.;"16,487";510;006 ;14.5%;"$1,315.1 ";21.8%;123 ;024 
457;456;Ingredion;11;456;006 ;1.5%;$484.9 ;20.6%;006 ;009 
458;457;UGI;"13,105";384;006 ;-15.0%;$364.7 ;29.8%;011 ;009 
459;458;Owens Corning;16;480;006 ;6.1%;$393.0 ;19.1%;008 ;007 
460;459;S&P Global;20;481;006 ;6.6%;"$2,106.0 ";82.2%;009 ;034 
461;460;Markel;"10,9";476;006 ;4.5%;$455.7 ;-21.8%;026 ;014 
462;461;Wyndham Worldwide;"37,8";466;006 ;1.1%;$611.0 ;-0.2%;010 ;009 
463;462;Arthur J. Gallagher;"24,79";471;006 ;3.8%;$414.4 ;16.1%;011 ;010 
464;463;Burlington Stores;40;500;006 ;9.0%;$215.9 ;43.5%;003 ;007 
465;464;First American Financial;"19,531";497;006 ;7.7%;$343.0 ;19.1%;009 ;004 
466;465;Symantec;11;400;006 ;-14.4%;"$2,488.0 ";183.4%;012 ;019 
467;466;Patterson;7;559;006 ;27.0%;$187.2 ;-16.2%;004 ;004 
468;467;Olin;"6,4";761;006 ;94.5%;-$3.9 ;-;009 ;005 
469;468;NetApp;"12,03";422;006 ;-9.4%;$229.0 ;-59.1%;010 ;011 
470;469;Raymond James Financial;"11,9";482;006 ;4.0%;$529.4 ;5.4%;032 ;011 
471;470;TravelCenters of America;"20,259";439;006 ;-5.8%;-$2.0 ;-107.3%;002 ;241 
472;471;Fiserv;23;492;006 ;4.8%;$930.0 ;30.6%;010 ;025 
473;472;Host Hotels & Resorts;220;472;005 ;1.9%;$762.0 ;36.6%;011 ;014 
474;473;Insight Enterprises;"5,93";474;005 ;2.1%;$84.7 ;11.7%;002 ;001 
475;474;Mattel;32;450;005 ;-4.3%;$318.0 ;-13.9%;006 ;009 
476;475;AmTrust Financial Services;8;531;005 ;18.1%;$411.0 ;-8.8%;023 ;003 
477;476;Cincinnati Financial;"4,754";499;005 ;6.0%;$590.7 ;-6.8%;020 ;012 
478;477;Simon Property Group;"4,05";488;005 ;3.2%;"$1,838.9 ";0.6%;031 ;054 
479;478;Western Union;"10,7";468;005 ;-1.1%;$253.2 ;-69.8%;009 ;010 
480;479;KeyCorp;"15,7";540;005 ;19.4%;$791.0 ;-13.6%;136 ;019 
481;480;Delek US Holdings;"1,326";445;005 ;-6.0%;-$153.7 ;-892.3%;003 ;002 
482;481;Booz Allen Hamilton Holding;"22,6";487;005 ;2.5%;$294.1 ;26.5%;003 ;005 
483;482;Chemours;7;;005 ;-;$7.0 ;-;006 ;007 
484;483;Western & Southern Financial Group;"2,178";479;005 ;0.8%;$241.2 ;-47.2%;044 ;-
485;484;Celanese;"7,293";453;005 ;-5.0%;$900.0 ;196.1%;008 ;013 
486;485;Windstream Holdings;"11,87";443;005 ;-6.6%;-$383.5 ;-;012 ;001 
487;486;Seaboard;"11,781";460;005 ;-3.8%;$312.0 ;82.5%;005 ;005 
488;487;Essendant;"6,6";477;005 ;0.1%;$63.9 ;-;002 ;568 
489;488;Apache;"3,727";388;005 ;-19.5%;"-$1,405.0 ";-;023 ;020 
490;489;Airgas;17;484;005 ;0.2%;$337.5 ;-8.3%;006 ;-
491;490;Kelly Services;"7,5";467;005 ;-4.4%;$120.8 ;124.5%;002 ;836 
492;491;Liberty Media;"3,626";525;005 ;10.0%;$680.0 ;962.5%;031 ;013 
493;492;Rockwell Collins;19;490;005 ;-0.1%;$728.0 ;6.1%;008 ;013 
494;493;Robert Half International;"16,4";503;005 ;3.1%;$343.4 ;-4.0%;002 ;006 
495;494;CH2M Hill;20;478;005 ;-2.3%;$15.0 ;-81.3%;003 ;-
496;495;Big Lots;"23,15";495;005 ;0.2%;$152.8 ;7.0%;002 ;002 
497;496;Michaels Cos.;31;517;005 ;5.8%;$378.2 ;4.2%;002 ;004 
498;497;Toll Brothers;"4,2";576;005 ;23.9%;$382.1 ;5.2%;010 ;006 
499;498;Yahoo;"8,5";513;005 ;4.0%;-$214.3 ;-;048 ;044 
500;499;Vistra Energy;"4,431";;005 ;-;-;-;015 ;007 
501;500;ABM Industries;110;485;005 ;-2.8%;$57.2 ;-25.0%;002 ;002 
