id;rank;name;employees;previousrank;revenues;revenuechange;profits;profitschange;assets;marketvalue
67;66;Centene;"30,5";124;041 ;78.6%;$562.0 ;58.3%;020 ;012 
68;67;American Airlines Group;"122,3";67;040 ;-2.0%;"$2,676.0 ";-64.8%;051 ;021 
69;68;Nationwide;"34,32";69;040 ;-0.4%;$334.3 ;-42.4%;198 ;-
70;69;Merck;68;72;040 ;0.8%;"$3,920.0 ";-11.8%;095 ;174 
71;70;Cigna;41;79;040 ;4.7%;"$1,867.0 ";-10.8%;059 ;038 
72;71;Delta Air Lines;"83,756";68;040 ;-2.6%;"$4,373.0 ";-3.4%;051 ;034 
73;72;Best Buy;125;71;039 ;-0.9%;"$1,228.0 ";36.9%;014 ;015 
74;73;Honeywell International;131;75;039 ;1.9%;"$4,809.0 ";0.9%;054 ;095 
75;74;Caterpillar;"95,4";59;039 ;-18.0%;-$67.0 ;-103.2%;075 ;054 
76;75;Liberty Mutual Insurance Group;50;73;038 ;-2.9%;"$1,006.0 ";95.7%;126 ;-
77;76;Morgan Stanley;"55,311";78;038 ;0.1%;"$5,979.0 ";-2.4%;815 ;080 
78;77;Massachusetts Mutual Life Insurance;"11,737";76;038 ;-1.2%;"$1,273.5 ";-10.6%;271 ;-
79;78;Goldman Sachs Group;"34,4";74;038 ;-3.8%;"$7,398.0 ";21.6%;860 ;091 
80;79;Energy Transfer Equity;"30,992";65;038 ;-11.0%;$995.0 ;-16.3%;079 ;021 
81;80;TIAA;"12,997";82;037 ;5.5%;"$1,492.3 ";22.9%;523 ;-
82;81;Oracle;136;77;037 ;-3.1%;"$8,901.0 ";-10.4%;112 ;184 
83;82;Tyson Foods;114;66;037 ;-10.9%;"$1,768.0 ";44.9%;022 ;022 
84;83;United Continental Holdings;88;80;037 ;-3.5%;"$2,263.0 ";-69.2%;040 ;022 
85;84;Allstate;"43,275";81;037 ;2.5%;"$1,877.0 ";-13.5%;109 ;030 
86;85;Publix Super Markets;191;87;034 ;5.1%;"$2,025.7 ";3.1%;017 ;-
87;86;American Express;"56,4";85;034 ;-1.8%;"$5,408.0 ";4.7%;159 ;071 
88;87;TJX;235;89;033 ;7.2%;"$2,298.2 ";0.9%;013 ;051 
89;88;Nike;"70,7";91;032 ;5.8%;"$3,760.0 ";14.9%;021 ;092 
90;89;Exelon;"34,396";95;031 ;6.5%;"$1,134.0 ";-50.0%;115 ;033 
91;90;General Dynamics;"98,8";88;031 ;-0.4%;"$2,955.0 ";-0.3%;033 ;057 
92;91;Rite Aid;"70,58";107;031 ;15.9%;$165.5 ;-92.2%;011 ;004 
93;92;Gilead Sciences;9;86;030 ;-6.9%;"$13,501.0 ";-25.4%;057 ;089 
94;93;CHS;"12,157";84;030 ;-12.2%;$424.2 ;-45.7%;017 ;-
95;94;3M;"91,584";93;030 ;-0.5%;"$5,050.0 ";4.5%;033 ;114 
96;95;Time Warner;25;99;029 ;4.3%;"$3,926.0 ";2.4%;066 ;076 
97;96;Charter Communications;"91,5";292;029 ;197.3%;"$3,522.0 ";-;149 ;101 
98;97;Northwestern Mutual;"5,646";100;029 ;2.4%;$818.0 ;0.4%;250 ;-
99;98;Facebook;"17,048";157;028 ;54.2%;"$10,217.0 ";177.0%;065 ;411 
100;99;Travelers Cos.;"30,9";105;028 ;3.1%;"$3,014.0 ";-12.4%;100 ;034 
101;100;Capital One Financial;"47,3";112;028 ;9.6%;"$3,751.0 ";-7.4%;357 ;042 
102;101;Twenty-First Century Fox;"21,5";96;027 ;-5.7%;"$2,755.0 ";-66.8%;048 ;060 
103;102;USAA;"29,943";114;027 ;11.4%;"$1,779.1 ";-21.7%;147 ;-
104;103;World Fuel Services;5;92;027 ;-11.1%;$126.5 ;-27.5%;005 ;003 
105;104;Philip Morris International;"79,5";106;027 ;-0.4%;"$6,967.0 ";1.4%;037 ;175 
106;105;Deere;"56,767";97;027 ;-7.7%;"$1,523.9 ";-21.4%;058 ;035 
107;106;Kraft Heinz;41;153;026 ;44.4%;"$3,632.0 ";472.9%;120 ;111 
108;107;Tech Data;"9,5";108;026 ;-0.5%;$195.1 ;-26.6%;008 ;004 
109;108;Avnet;"17,7";102;026 ;-6.1%;$506.5 ;-11.4%;011 ;006 
110;109;Mondelez International;90;102;026 ;-12.5%;"$1,659.0 ";-77.2%;062 ;066 
111;110;Macy;"148,3";103;026 ;-4.8%;$619.0 ;-42.3%;020 ;009 
112;111;AbbVie;30;123;026 ;12.2%;"$5,953.0 ";15.7%;066 ;104 
113;112;McDonald;375;109;025 ;-3.1%;"$4,686.5 ";3.5%;031 ;106 
114;113;DuPont;46;101;025 ;-12.0%;"$2,513.0 ";28.7%;040 ;069 
115;114;Northrop Grumman;67;118;025 ;4.2%;"$2,200.0 ";10.6%;026 ;042 
116;115;ConocoPhillips;"13,3";90;024 ;-21.3%;"-$3,615.0 ";-;090 ;062 
117;116;Raytheon;63;120;024 ;3.5%;"$2,211.0 ";6.6%;030 ;045 
118;117;Tesoro;"6,308";98;024 ;-14.7%;$734.0 ;-52.3%;020 ;010 
119;118;Arrow Electronics;"18,7";119;024 ;2.3%;$522.8 ;5.0%;014 ;007 
120;119;Qualcomm;"30,5";110;024 ;-6.8%;"$5,705.0 ";8.2%;052 ;085 
121;120;Progressive;"31,721";137;023 ;12.4%;"$1,031.0 ";-18.7%;033 ;023 
122;121;Duke Energy;"28,798";115;023 ;-1.0%;"$2,152.0 ";-23.6%;133 ;057 
123;122;Enterprise Products Partners;"6,8";104;023 ;-14.8%;"$2,513.1 ";-0.3%;052 ;059 
124;123;Amgen;"19,2";130;023 ;6.1%;"$7,722.0 ";11.3%;078 ;121 
125;124;US Foods Holding;25;122;023 ;-0.9%;$209.8 ;25.2%;009 ;006 
