id;date;price
246;01.07.1970;35.329
247;01.08.1970;35.377
248;01.09.1970;36.196
249;01.10.1970;37.553
250;01.11.1970;37.455
251;01.12.1970;37.434
252;01.01.1971;37.868
253;01.02.1971;38.716
254;01.03.1971;38.873
255;01.04.1971;39.001
256;01.05.1971;40.493
257;01.06.1971;40.105
258;01.07.1971;40.929
259;01.08.1971;42.722
260;01.09.1971;41.976
261;01.10.1971;42.473
262;01.11.1971;42.842
263;01.12.1971;43.455
264;01.01.1972;45.64
265;01.02.1972;48.237
266;01.03.1972;48.288
267;01.04.1972;49.026
268;01.05.1972;54.5
269;01.06.1972;62.17
270;01.07.1972;65.558
271;01.08.1972;66.917
272;01.09.1972;65.589
273;01.10.1972;64.824
274;01.11.1972;62.726
275;01.12.1972;63.779
276;01.01.1973;65.127
277;01.02.1973;73.971
278;01.03.1973;84.105
279;01.04.1973;90.441
280;01.05.1973;101.623
281;01.06.1973;119.8
282;01.07.1973;120.364
283;01.08.1973;106.225
284;01.09.1973;103.034
285;01.10.1973;99.923
286;01.11.1973;94.645
287;01.12.1973;106.236
288;01.01.1974;129.027
289;01.02.1974;150.00
290;01.03.1974;168.298
291;01.04.1974;172.243
292;01.05.1974;163.568
293;01.06.1974;154.013
294;01.07.1974;142.283
295;01.08.1974;154.362
296;01.09.1974;151.66
297;01.10.1974;158.533
298;01.11.1974;181.483
299;01.12.1974;183.683
300;01.01.1975;176.864
301;01.02.1975;179.553
302;01.03.1975;178.203
303;01.04.1975;170.066
304;01.05.1975;167.293
305;01.06.1975;164.25
306;01.07.1975;164.867
307;01.08.1975;163.168
308;01.09.1975;144.311
309;01.10.1975;142.691
310;01.11.1975;142.565
311;01.12.1975;139.279
312;01.01.1976;131.695
313;01.02.1976;130.94
314;01.03.1976;132.676
315;01.04.1976;127.91
316;01.05.1976;126.913
317;01.06.1976;125.684
318;01.07.1976;117.866
319;01.08.1976;110.055
320;01.09.1976;114.098
321;01.10.1976;116.095
322;01.11.1976;130.341
323;01.12.1976;133.674
324;01.01.1977;132.306
325;01.02.1977;136.163
326;01.03.1977;148.339
327;01.04.1977;149.184
328;01.05.1977;146.536
329;01.06.1977;140.828
330;01.07.1977;143.383
331;01.08.1977;145.009
332;01.09.1977;149.334
333;01.10.1977;158.848
334;01.11.1977;162.132
335;01.12.1977;160.48
336;01.01.1978;173.207
337;01.02.1978;178.36
338;01.03.1978;183.771
339;01.04.1978;175.323
340;01.05.1978;176.19
341;01.06.1978;183.761
342;01.07.1978;188.569
343;01.08.1978;206.455
344;01.09.1978;212.212
345;01.10.1978;227.432
346;01.11.1978;207.082
347;01.12.1978;207.895
348;01.01.1979;226.986
349;01.02.1979;245.59
350;01.03.1979;242.348
351;01.04.1979;239.174
352;01.05.1979;257.738
353;01.06.1979;279.36
354;01.07.1979;295.009
355;01.08.1979;300.793
356;01.09.1979;354.498
357;01.10.1979;390.959
358;01.11.1979;391.518
359;01.12.1979;463.666
360;01.01.1980;674.58
361;01.02.1980;665.893
362;01.03.1980;554.276
363;01.04.1980;516.71
364;01.05.1980;514.268
365;01.06.1980;600.786
366;01.07.1980;645.75
367;01.08.1980;626.36
368;01.09.1980;673.941
369;01.10.1980;662.27
370;01.11.1980;623.875
371;01.12.1980;596.712
372;01.01.1981;557.813
373;01.02.1981;500.8
374;01.03.1981;499.693
375;01.04.1981;496.625
376;01.05.1981;480.316
377;01.06.1981;460.5
378;01.07.1981;409.284
379;01.08.1981;410.24
380;01.09.1981;443.773
381;01.10.1981;437.68
382;01.11.1981;413.405
383;01.12.1981;410.119
384;01.01.1982;384.163
385;01.02.1982;374.458
386;01.03.1982;330.413
387;01.04.1982;350.335
388;01.05.1982;334.505
389;01.06.1982;314.961
390;01.07.1982;337.895
391;01.08.1982;363.413
392;01.09.1982;438.15
393;01.10.1982;422.786
394;01.11.1982;415.114
395;01.12.1982;444.776
396;01.01.1983;481.838
397;01.02.1983;493.488
398;01.03.1983;420.707
399;01.04.1983;433.171
400;01.05.1983;437.393
401;01.06.1983;413.148
402;01.07.1983;422.645
403;01.08.1983;416.205
404;01.09.1983;412.245
405;01.10.1983;394.245
406;01.11.1983;381.016
407;01.12.1983;388.06
408;01.01.1984;370.735
409;01.02.1984;386.038
410;01.03.1984;394.743
411;01.04.1984;381.371
412;01.05.1984;376.957
413;01.06.1984;378.314
414;01.07.1984;347.598
415;01.08.1984;347.677
416;01.09.1984;340.945
417;01.10.1984;340.217
418;01.11.1984;341.286
419;01.12.1984;319.622
420;01.01.1985;302.852
421;01.02.1985;299.833
422;01.03.1985;303.205
423;01.04.1985;324.883
424;01.05.1985;316.395
425;01.06.1985;316.298
426;01.07.1985;317.202
427;01.08.1985;330.131
428;01.09.1985;323.764
429;01.10.1985;326.093
430;01.11.1985;325.548
431;01.12.1985;321.985
432;01.01.1986;345.561
433;01.02.1986;339.053
434;01.03.1986;346.095
435;01.04.1986;340.716
436;01.05.1986;342.325
437;01.06.1986;342.798
438;01.07.1986;348.554
439;01.08.1986;376.29
440;01.09.1986;418.152
441;01.10.1986;423.863
442;01.11.1986;396.983
443;01.12.1986;391.595
444;01.01.1987;408.524
445;01.02.1987;401.045
446;01.03.1987;408.848
447;01.04.1987;439.665
448;01.05.1987;461.65
449;01.06.1987;449.282
450;01.07.1987;450.33
451;01.08.1987;460.988
452;01.09.1987;460.12
453;01.10.1987;465.764
454;01.11.1987;468.14
455;01.12.1987;487.079
456;01.01.1988;477.758
457;01.02.1988;442.124
458;01.03.1988;443.491
459;01.04.1988;451.558
460;01.05.1988;451.32
461;01.06.1988;451.657
462;01.07.1988;437.452
463;01.08.1988;431.064
464;01.09.1988;413.439
465;01.10.1988;406.39
466;01.11.1988;419.966
467;01.12.1988;419.248
468;01.01.1989;404.445
469;01.02.1989;387.973
470;01.03.1989;390.274
471;01.04.1989;384.72
472;01.05.1989;371.35
473;01.06.1989;367.727
474;01.07.1989;375.21
475;01.08.1989;365.548
476;01.09.1989;361.798
477;01.10.1989;366.8
478;01.11.1989;394.361
479;01.12.1989;409.655
480;01.01.1990;410.118
481;01.02.1990;416.543
482;01.03.1990;393.661
483;01.04.1990;374.929
484;01.05.1990;368.855
485;01.06.1990;352.657
486;01.07.1990;361.82
487;01.08.1990;394.861
488;01.09.1990;389.56
489;01.10.1990;381.333
490;01.11.1990;381.866
491;01.12.1990;378.161
492;01.01.1991;384.591
493;01.02.1991;363.748
494;01.03.1991;363.39
495;01.04.1991;358.055
496;01.05.1991;357.117
497;01.06.1991;366.36
498;01.07.1991;368.013
499;01.08.1991;356.721
500;01.09.1991;348.46
501;01.10.1991;358.826
502;01.11.1991;359.96
503;01.12.1991;361.875
504;01.01.1992;354.436
505;01.02.1992;353.853
506;01.03.1992;344.641
507;01.04.1992;338.728
508;01.05.1992;337.039
509;01.06.1992;340.784
510;01.07.1992;352.452
511;01.08.1992;343.603
512;01.09.1992;345.3
513;01.10.1992;344.277
514;01.11.1992;334.924
515;01.12.1992;334.657
516;01.01.1993;328.993
517;01.02.1993;329.31
518;01.03.1993;329.974
519;01.04.1993;341.948
520;01.05.1993;367.045
521;01.06.1993;371.914
522;01.07.1993;392.034
523;01.08.1993;379.795
524;01.09.1993;355.561
525;01.10.1993;364.005
526;01.11.1993;373.939
527;01.12.1993;383.243
528;01.01.1994;387.11
529;01.02.1994;381.658
530;01.03.1994;384.00
531;01.04.1994;377.908
532;01.05.1994;381.343
533;01.06.1994;385.714
534;01.07.1994;385.45
535;01.08.1994;380.207
536;01.09.1994;391.348
537;01.10.1994;390.164
538;01.11.1994;384.377
539;01.12.1994;379.48
540;01.01.1995;378.738
541;01.02.1995;376.745
542;01.03.1995;381.82
543;01.04.1995;391.339
544;01.05.1995;385.231
545;01.06.1995;387.618
546;01.07.1995;386.138
547;01.08.1995;383.502
548;01.09.1995;382.931
549;01.10.1995;383.202
550;01.11.1995;385.209
551;01.12.1995;387.445
552;01.01.1996;398.695
553;01.02.1996;404.919
554;01.03.1996;396.512
555;01.04.1996;392.87
556;01.05.1996;391.99
557;01.06.1996;385.245
558;01.07.1996;383.457
559;01.08.1996;387.51
560;01.09.1996;383.29
561;01.10.1996;380.909
562;01.11.1996;377.869
563;01.12.1996;369.338
564;01.01.1997;355.025
565;01.02.1997;346.4
566;01.03.1997;352.311
567;01.04.1997;344.707
568;01.05.1997;344.1
569;01.06.1997;340.805
570;01.07.1997;323.78
571;01.08.1997;323.998
572;01.09.1997;322.616
573;01.10.1997;324.863
574;01.11.1997;306.345
575;01.12.1997;288.776
576;01.01.1998;289.264
577;01.02.1998;297.743
578;01.03.1998;295.87
579;01.04.1998;308.558
580;01.05.1998;298.971
581;01.06.1998;292.223
582;01.07.1998;292.874
583;01.08.1998;284.228
584;01.09.1998;288.661
585;01.10.1998;296.595
586;01.11.1998;294.243
587;01.12.1998;291.357
588;01.01.1999;287.333
589;01.02.1999;287.495
590;01.03.1999;286.243
591;01.04.1999;282.62
592;01.05.1999;276.932
593;01.06.1999;261.402
594;01.07.1999;256.198
595;01.08.1999;256.936
596;01.09.1999;264.47
597;01.10.1999;311.562
598;01.11.1999;293.65
599;01.12.1999;283.743
600;01.01.2000;284.59
601;01.02.2000;300.855
602;01.03.2000;286.704
603;01.04.2000;279.961
604;01.05.2000;275.293
605;01.06.2000;285.368
606;01.07.2000;282.152
607;01.08.2000;274.523
608;01.09.2000;273.676
609;01.10.2000;270.405
610;01.11.2000;265.989
611;01.12.2000;271.892
612;01.01.2001;265.934
613;01.02.2001;262.018
614;01.03.2001;263.273
